system:time_start,RMSE
"Jan 8, 2023",0.036
"Jan 13, 2023",0.035
"Jan 18, 2023",0.037
"Jan 28, 2023",0.042
"Feb 2, 2023",0.15
"Feb 7, 2023",0.058
"Feb 12, 2023",0.055
"Feb 17, 2023",0.054
"Feb 22, 2023",0.062
"Mar 4, 2023",0.105
"Mar 9, 2023",0.063
"Jun 7, 2023",0.074
"Aug 21, 2023",0.081
"Aug 26, 2023",0.051
"Sep 5, 2023",0.079
"Sep 25, 2023",0.043
"Oct 10, 2023",0.119
"Nov 29, 2023",0.037
"Dec 9, 2023",0.208
"Dec 24, 2023",0.083
"Dec 29, 2023",0.108
